,Authors,ArticleTitle,Date,Abstract,Keywords,Affiliations
0,"Y. Wu, Y. Ding, Y. Tanaka and W. Zhang, ","""Risk factors contributing to type 2 diabetes and recent advances in the treatment and prevention."", ",2014,"""Type 2 diabetes is a serious and common chronic disease resulting from a complex inheritance-environment interaction along with other risk factors such as obesity and sedentary lifestyle. Type 2 diabetes and its complications constitute a major worldwide public health problem, affecting almost all populations in both developed and developing countries with high rates of diabetes-related morbidity and mortality. The prevalence of type 2 diabetes has been increasing exponentially, and a high prevalence rate has been observed in developing countries and in populations undergoing ""westernization"" or modernization. Multiple risk factors of diabetes, delayed diagnosis until micro- and macro-vascular complications arise, life-threatening complications, failure of the current therapies, and financial costs for the treatment of this disease, make it necessary to develop new efficient therapy strategies and appropriate prevention measures for the control of type 2 diabetes. Herein, we summarize our current understanding about the epidemiology of type 2 diabetes, the roles of genes, lifestyle and other factors contributing to rapid increase in the incidence of type 2 diabetes. The core aims are to bring forward the new therapy strategies and cost-effective intervention trials of type 2 diabetes.""","genetic factor, intervention trial., lifestyle, treatment, type 2 diabetes, ","""1. Lab of Molecular Immunology, Zhejiang Provincial Center for Disease Control and Prevention, 3399 Binsheng Road, Hangzhou, 310051, China; ; 2. Lab of Chemical Biology and Molecular Drug Design, College of Pharmaceutical Science, Zhejiang University of Technology, 18 Chaowang Road, Hangzhou, 310014, China;"", ""1. Lab of Molecular Immunology, Zhejiang Provincial Center for Disease Control and Prevention, 3399 Binsheng Road, Hangzhou, 310051, China; ; 2. Lab of Chemical Biology and Molecular Drug Design, College of Pharmaceutical Science, Zhejiang University of Technology, 18 Chaowang Road, Hangzhou, 310014, China;"", ""3. Center for Innovation in Immunoregulative Technology and Therapeutics, Graduate School of Medicine, Kyoto University, Kyoto, 606-8501, Japan."", ""2. Lab of Chemical Biology and Molecular Drug Design, College of Pharmaceutical Science, Zhejiang University of Technology, 18 Chaowang Road, Hangzhou, 310014, China;"", "
1,"N. Javeed and AV. Matveyenko, ","""Circadian Etiology of Type 2 Diabetes Mellitus."", ",Mar. 2018,"""The epidemic of Type 2 diabetes mellitus necessitates development of novel therapeutic and preventative strategies to attenuate expansion of this debilitating disease. Evidence links the circadian system to various aspects of diabetes pathophysiology and treatment. The aim of this review will be to outline the rationale for therapeutic targeting of the circadian system in the treatment and prevention of Type 2 diabetes mellitus and consequent metabolic comorbidities.""",,"""Department of Physiology and Biomedical Engineering, Mayo Clinic , Rochester, Minnesota."", ""Department of Physiology and Biomedical Engineering, Mayo Clinic , Rochester, Minnesota."", ""Department of Medicine, Division of Endocrinology, Metabolism, Diabetes, and Nutrition, Mayo Clinic School of Medicine, Mayo Clinic , Rochester, Minnesota."", "
2,"B. Fletcher, M. Gulanick and C. Lamendola, ","""Risk factors for type 2 diabetes mellitus."", ",Jan. 2002,"""Genetic, environmental, and metabolic risk factors are interrelated and contribute to the development of type 2 diabetes mellitus. A strong family history of diabetes mellitus, age, obesity, and physical inactivity identify those individuals at highest risk. Minority populations are also at higher risk, not only because of family history and genetics, but also because of adaptation to American environmental influences of poor dietary and exercise habits. Women with a history of gestational diabetes as well as their children are at greater risk for progressing to type 2 diabetes mellitus. Insulin resistance increases a person's risk for developing impaired glucose tolerance and type 2 diabetes. Individuals who have insulin resistance share many of the same risk factors as those with type 2 diabetes. These include hyperinsulinemia, atherogenic dyslipidemia, glucose intolerance, hypertension, prothrombic state, hyperuricemia, and polycystic ovary syndrome. Current interventions for the prevention and retardation of type 2 diabetes mellitus are those targeted towards modifying environmental risk factors such as reducing obesity and promoting physical activity. Awareness of risk factors for developing type 2 diabetes will promote screening, early detection, and treatment in high-risk populations with the goal of decreasing both microvascular and macrovascular complications.""",,"""University of North Florida, Department of Nursing Jacksonville Beach, USA."", "
3,"S. Brunton, ","""Pathophysiology of Type 2 Diabetes: The Evolution of Our Understanding."", ",Apr. 2016,"""This review article explores scientists' current understanding of type 2 diabetes as a complex disorder that involves not just the pancreas and insulin system but also the liver, kidneys, gut, muscle, fat cells, and even the brain. An appreciation of the complex pathophysiology of type 2 diabetes allows the primary care practitioner to best manage patients with this common and serious disorder.""",,"""Primary Care Metabolic Group Charlotte, NC, USA."", "
4,"A. Kautzky-Willer, J. Harreiter and G. Pacini, ","""Sex and Gender Differences in Risk, Pathophysiology and Complications of Type 2 Diabetes Mellitus."", ",Jun. 2016,"""The steep rise of type 2 diabetes mellitus (T2DM) and associated complications go along with mounting evidence of clinically important sex and gender differences. T2DM is more frequently diagnosed at lower age and body mass index in men; however, the most prominent risk factor, which is obesity, is more common in women. Generally, large sex-ratio differences across countries are observed. Diversities in biology, culture, lifestyle, environment, and socioeconomic status impact differences between males and females in predisposition, development, and clinical presentation. Genetic effects and epigenetic mechanisms, nutritional factors and sedentary lifestyle affect risk and complications differently in both sexes. Furthermore, sex hormones have a great impact on energy metabolism, body composition, vascular function, and inflammatory responses. Thus, endocrine imbalances relate to unfavorable cardiometabolic traits, observable in women with androgen excess or men with hypogonadism. Both biological and psychosocial factors are responsible for sex and gender differences in diabetes risk and outcome. Overall, psychosocial stress appears to have greater impact on women rather than on men. In addition, women have greater increases of cardiovascular risk, myocardial infarction, and stroke mortality than men, compared with nondiabetic subjects. However, when dialysis therapy is initiated, mortality is comparable in both males and females. Diabetes appears to attenuate the protective effect of the female sex in the development of cardiac diseases and nephropathy. Endocrine and behavioral factors are involved in gender inequalities and affect the outcome. More research regarding sex-dimorphic pathophysiological mechanisms of T2DM and its complications could contribute to more personalized diabetes care in the future and would thus promote more awareness in terms of sex- and gender-specific risk factors.""",,"""Gender Medicine Unit (A.K.-W., J.H.), Division of Endocrinology and Metabolism, Department of Internal Medicine III, Medical University of Vienna, 1090 Vienna, Austria; and Metabolic Unit (G.P.), Institute of Neuroscience, National Research Council, 35127 Padua, Italy."", ""Gender Medicine Unit (A.K.-W., J.H.), Division of Endocrinology and Metabolism, Department of Internal Medicine III, Medical University of Vienna, 1090 Vienna, Austria; and Metabolic Unit (G.P.), Institute of Neuroscience, National Research Council, 35127 Padua, Italy."", ""Gender Medicine Unit (A.K.-W., J.H.), Division of Endocrinology and Metabolism, Department of Internal Medicine III, Medical University of Vienna, 1090 Vienna, Austria; and Metabolic Unit (G.P.), Institute of Neuroscience, National Research Council, 35127 Padua, Italy."", "
5,"R. Taylor, ","""Type 2 diabetes: etiology and reversibility."", ",Apr. 2013,,,"""Magnetic Resonance Centre, Institute of Cellular Medicine, Newcastle University, Newcastle upon Tyne, UK. roy.taylor@ncl.ac.uk"", "
6,"RJ. Henning, ","""Type-2 diabetes mellitus and cardiovascular disease."", ",Nov. 2018,"""The global prevalence of diabetes has risen in adults from 4.7% in 1980 to 8.5% in 2014. 90-95% of adults with diabetes have Type 2 diabetes (T2D). This paper focuses on the diagnosis and treatment of T2D patients who have or are at risk for cardiovascular disease. Hyperglycemia, insulin resistance and excess fatty acids increase oxidative stress, disrupt protein kinase C signaling and increase advanced glycation end-products that result in vascular inflammation, vasoconstriction, thrombosis and atherogenesis. Intensive T2D treatment produces a ≥10% risk reduction in major macrovascular and microvascular events. Glucose-lowering therapies must be individualized. Metformin is an optimal drug for monotherapy. If hemoglobin A1c is not at goal, a sodium-glucose cotransporter-2 inhibitor or a dipeptidyl peptidase-4 inhibitor should be considered for therapy with metformin. Coronary angioplasty/stenting is recommended for diabetic patients with acute myocardial infarctions. Coronary artery bypass grafting is recommended for symptomatic diabetic patients with multivessel disease.""","HbA1c, adult onset diabetes, coronary artery disease, glucose lowering agents, heart failure, hyperglycemia, insulin resistance, macrovascular disease, microvascular disease, myocardial infarction, obesity, ","""University of South Florida, Tampa, FL 33612-3805, USA."", "
7,"J. Damanik and E. Yunir, ","""Type 2 Diabetes Mellitus and Cognitive Impairment."", ",Apr. 2021,"""Type 2 diabetes mellitus (T2DM) is strongly associated with lower performance on multiple domains of cognitive function and with structural abnormalities of the brain. With the growing epidemic of diabetes and aging population, neural complications of diabetes are expected to rise and becoming a challenge for future health implications. Understanding pathophysiology, factors associated with this complication, manifestation of cognitive impairment and various metabolic and neuroradiologic markers suggestive of this pathologic condition is crucial for proper management of this potentially debilitating complication of T2DM. This review will discuss briefly important aspects of cognitive impairment in T2DM.""","cognitive impairment, type 2 diabetes mellitus, ","""Department of Internal Medicine, Faculty of Medicine Universitas Indonesia - Cipto Mangunkusumo Hospital, Jakarta, Indonesia. johanda.damanik@gmail.com."", "
8,"Q. Ma, Y. Li, P. Li, M. Wang, J. Wang, Z. Tang, T. Wang, L. Luo, C. Wang, T. Wang and B. Zhao, ","""Research progress in the relationship between type 2 diabetes mellitus and intestinal flora."", ",Sep. 2019,"""Type 2 diabetes mellitus (T2DM) is a common clinical chronic disease, while its pathogenesis is still inconclusive. Intestinal flora, the largest micro-ecological system in the human body, is involved in, meanwhile has a major impact on the body's material and energy metabolism. Recent studies have shown that in addition to obesity, genetics, and islet dysfunction, the disturbance of intestinal flora may partly give rise to diabetes. In this paper, we summarized the current research on the correlation between T2DM and intestinal flora, and concluded the pathological mechanisms of intestinal flora involved in T2DM. Moreover, the ideas and methods of prevention and treatment of T2DM based on intestinal flora were proposed, providing theoretical basis and literature reference for the treatment of T2DM and its complications based on the regulation of intestinal flora.""","Intestinal flora, Research progress, Type 2 diabetes mellitus, ","""School of Chinese Materia Medica, Beijing University of Chinese Medicine, No.11 North 3rd Ring East Road, Chao-Yang District, Beijing, 100029, China."", ""School of Chinese Materia Medica, Beijing University of Chinese Medicine, No.11 North 3rd Ring East Road, Chao-Yang District, Beijing, 100029, China."", ""School of Chinese Materia Medica, Beijing University of Chinese Medicine, No.11 North 3rd Ring East Road, Chao-Yang District, Beijing, 100029, China."", ""School of Chinese Materia Medica, Beijing University of Chinese Medicine, No.11 North 3rd Ring East Road, Chao-Yang District, Beijing, 100029, China."", ""School of Chinese Materia Medica, Beijing University of Chinese Medicine, No.11 North 3rd Ring East Road, Chao-Yang District, Beijing, 100029, China."", ""School of Chinese Materia Medica, Beijing University of Chinese Medicine, No.11 North 3rd Ring East Road, Chao-Yang District, Beijing, 100029, China."", ""National Center for Safety Evaluation of Drugs, National Institutes for Food and Drug Control, No.8 Hong-Da Middle Road, Da-Xing District, Beijing, 100176, China."", ""School of Chinese Materia Medica, Beijing University of Chinese Medicine, No.11 North 3rd Ring East Road, Chao-Yang District, Beijing, 100029, China."", ""Beijing Research Institute of Chinese Medicine, Beijing University of Chinese Medicine, No. 11 North 3rd Ring East Road, Chao-Yang District, Beijing, 100029, China."", ""Beijing Research Institute of Chinese Medicine, Beijing University of Chinese Medicine, No. 11 North 3rd Ring East Road, Chao-Yang District, Beijing, 100029, China. Electronic address: wangting1973@sina.com."", ""Beijing Research Institute of Chinese Medicine, Beijing University of Chinese Medicine, No. 11 North 3rd Ring East Road, Chao-Yang District, Beijing, 100029, China. Electronic address: zhaobs1973@163.com."", "
9,"KT. Kao and MA. Sabin, ","""Type 2 diabetes mellitus in children and adolescents."", ",Jun. 2016,"""The incidence of type 2 diabetes mellitus (T2DM) in children and adolescents is increasing, mirroring the epidemic of paediatric obesity. Early-onset T2DM is associated with poor long-term outcomes.""",,
