Account Description,Product,Size,Size Numeric,Strength,WHO ATC 5 Code,Volume,Value,Year Month (after 2000),Year (after 2000),Month,Region_Færøerne,Region_Hovedstaden,Region_Midtjylland,Region_Nordjylland,Region_Sjælland,Region_Syddanmark
0030 Viborg Svane apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,2.0,54149.24,1201.0,12.0,1.0,False,False,True,False,False,False
0030 Viborg Svane apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,27074.62,1204.0,12.0,4.0,False,False,True,False,False,False
0030 Viborg Svane apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,27074.62,1207.0,12.0,7.0,False,False,True,False,False,False
0030 Viborg Svane apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,2.0,54149.24,1208.0,12.0,8.0,False,False,True,False,False,False
0030 Viborg Svane apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,27074.62,1209.0,12.0,9.0,False,False,True,False,False,False
0030 Viborg Svane apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,27074.62,1210.0,12.0,10.0,False,False,True,False,False,False
0030 Viborg Svane apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,27074.62,1301.0,13.0,1.0,False,False,True,False,False,False
0030 Viborg Svane apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,27074.62,1303.0,13.0,3.0,False,False,True,False,False,False
0030 Viborg Svane apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,27074.62,1304.0,13.0,4.0,False,False,True,False,False,False
0030 Viborg Svane apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,26397.75,1306.0,13.0,6.0,False,False,True,False,False,False
0030 Viborg Svane apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,2.0,52795.5,1307.0,13.0,7.0,False,False,True,False,False,False
0030 Viborg Svane apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,26397.75,1309.0,13.0,9.0,False,False,True,False,False,False
0030 Viborg Svane apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,1.0,24467.0,1803.0,18.0,3.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,2.0,54149.24,1104.0,11.0,4.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,2.0,54149.24,1105.0,11.0,5.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,1.0,27074.62,1105.0,11.0,5.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,3.0,81223.86,1106.0,11.0,6.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,2.0,54149.24,1107.0,11.0,7.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,2.0,54149.24,1108.0,11.0,8.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,3.0,81223.86,1109.0,11.0,9.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,27074.62,1110.0,11.0,10.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,5.0,135373.1,1110.0,11.0,10.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,3.0,81223.86,1111.0,11.0,11.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,2.0,54149.24,1112.0,11.0,12.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,27074.62,1201.0,12.0,1.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,2.0,54149.24,1201.0,12.0,1.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,27074.62,1202.0,12.0,2.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,4.0,108298.48,1202.0,12.0,2.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,2.0,54149.24,1203.0,12.0,3.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,4.0,108298.48,1203.0,12.0,3.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,27074.62,1205.0,12.0,5.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,1.0,27074.62,1205.0,12.0,5.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,4.0,108298.48,1206.0,12.0,6.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,5.0,135373.1,1206.0,12.0,6.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,27074.62,1208.0,12.0,8.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,5.0,135373.1,1208.0,12.0,8.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,27074.62,1209.0,12.0,9.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,2.0,54149.24,1209.0,12.0,9.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,27074.62,1210.0,12.0,10.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,1.0,27074.62,1210.0,12.0,10.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,3.0,81223.86,1211.0,12.0,11.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,1.0,27074.62,1211.0,12.0,11.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,3.0,81223.86,1212.0,12.0,12.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,3.0,81223.86,1212.0,12.0,12.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,2.0,54149.24,1301.0,13.0,1.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,2.0,54149.24,1302.0,13.0,2.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,2.0,54149.24,1302.0,13.0,2.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,27074.62,1303.0,13.0,3.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,2.0,54149.24,1303.0,13.0,3.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,3.0,81223.86,1304.0,13.0,4.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,5.0,131988.75,1305.0,13.0,5.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,6.0,158386.5,1306.0,13.0,6.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,26397.75,1307.0,13.0,7.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,2.0,52795.5,1308.0,13.0,8.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,1.0,26397.75,1309.0,13.0,9.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1 stk.  (0.5 ml),1.0,45.0,L04AC05,3.0,79193.25,1309.0,13.0,9.0,False,False,True,False,False,False
0060 aarhus Løve apotek,Stelara,1  eng. spr. a 1 ml,1.0,90.0,L04AC05,4.0,105591.0,1311.0,13.0,11.0,False,False,True,False,False,False
